"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.655635000E-3,2.213766128E-1,-2.661857754E-2,1.542595863E0,1.558627008E0
1.065563500E-2,1.818620265E-1,-8.607442677E-2,1.308953285E0,1.324326737E0
1.565563500E-2,9.611243010E-2,-1.207745969E-1,6.602725983E-1,6.780737471E-1
2.065563500E-2,9.553834796E-2,-4.285866767E-2,2.005577087E-2,1.066146110E-1
2.565563500E-2,7.773493230E-2,6.641533971E-2,-4.133176804E-1,4.257760232E-1
3.065563500E-2,-7.425606251E-3,1.398696303E-1,-6.410627365E-1,6.561860142E-1
3.565563500E-2,-4.906120896E-2,2.011361569E-1,-6.871967316E-1,7.177061402E-1
4.065563500E-2,-4.794093966E-2,2.526658773E-1,-6.865692139E-1,7.331545981E-1
4.565563500E-2,-2.609223127E-3,2.101707906E-1,-6.085453033E-1,6.438213692E-1
5.065563500E-2,5.270129442E-2,1.536636353E-1,-4.430370331E-1,4.718810781E-1
5.565563500E-2,1.032568067E-1,7.928946614E-2,-1.452226639E-1,1.950343808E-1
6.065563500E-2,1.047206670E-1,3.629937768E-3,2.765874863E-1,2.957705734E-1
6.565563500E-2,1.043518335E-1,-5.559551716E-2,6.414709091E-1,6.522768537E-1
7.065563500E-2,7.253046334E-2,-3.543418646E-2,7.925605774E-1,7.966608554E-1
7.565563500E-2,4.487064481E-2,2.712607384E-3,6.034889221E-1,6.051608151E-1
8.065563500E-2,3.872117400E-2,5.604767799E-2,1.385154724E-1,1.543606414E-1
8.565563500E-2,4.880440235E-2,1.266554594E-1,-3.377332687E-1,3.639879612E-1
9.065563500E-2,4.535964131E-2,1.767718941E-1,-6.903991699E-1,7.141126056E-1
9.565563500E-2,4.584111273E-2,1.968087852E-1,-8.027858734E-1,8.278286442E-1
1.006556350E-1,3.337293863E-2,1.844315678E-1,-6.073150635E-1,6.355787461E-1
1.056556350E-1,1.295937598E-2,1.359874457E-1,-2.393035889E-1,2.755480692E-1
1.106556350E-1,4.359814525E-2,6.777299941E-2,1.642227173E-1,1.829291628E-1
1.156556350E-1,2.562843263E-2,3.391166031E-2,4.096136093E-1,4.118132176E-1
1.206556350E-1,9.495671093E-2,-8.502408862E-3,4.693040848E-1,4.788897492E-1
1.256556350E-1,8.849279583E-2,-8.841156960E-4,3.350172043E-1,3.465087066E-1
1.306556350E-1,8.614556491E-2,2.759896219E-2,1.086883545E-1,1.414069287E-1
1.356556350E-1,7.415162027E-2,7.557536662E-2,-1.270313263E-1,1.653694551E-1
1.406556350E-1,1.745162904E-2,1.306149662E-1,-2.810792923E-1,3.104358183E-1
1.456556350E-1,2.405981719E-2,1.499739438E-1,-3.369731903E-1,3.696241194E-1
1.506556350E-1,1.127198339E-2,1.715165228E-1,-3.267030716E-1,3.691610383E-1
